"date","description","withdrawal","deposit","balance"
"2024-01-02","E-TRANSFER***Q9G","","100.00","59334.85"
"2024-01-02","SSVTO:80746337033","0.50","","59334.35"
"2024-01-02","PAYPALMSP","10.49","","59323.86"
"2024-01-02","PAYPALMSP","13.64","","59310.22"
"2024-01-02","PAYPALMSP","41.53","","59268.69"
"2024-01-02","PAYPALMSP","65.88","","59202.81"
"2024-01-02","PAYPALMSP","101.73","","59101.08"
"2024-01-03","E-TRANSFER***nqU","","3227.30","62328.38"
"2024-01-04","AMZNMktpCA_V","49.07","","62279.31"
"2024-01-04","AMZNMktpCA_V","41.99","","62237.32"
"2024-01-04","WPS-0104S556","","3344.43","65581.75"
"2024-01-05","SSVTO:80746337033","1.00","","65580.75"
"2024-01-08","FREEDOMMOBILE_V","93.40","","65487.35"
"2024-01-08","E-TRANSFER***FFZ","","2674.00","68161.35"
"2024-01-09","AMZNMktpCA_V","57.63","","68103.72"
"2024-01-09","SSVTO:80746337033","0.50","","68103.22"
"2024-01-10","SSVTO:80746337033","0.50","","68102.72"
"2024-01-10","WPS-0110S64213","","1181.20","69283.92"
"2024-01-11","STRIPEMSP","","10370.49","79654.41"
"2024-01-11","PTSTO:80746337033","50.00","","79604.41"
"2024-01-12","STRIPEMSP","","5501.70","85106.11"
"2024-01-17","PAYPALMSP","32.19","","85073.92"
"2024-01-18","SENDE-TFR***yTY","229.00","","84844.92"
"2024-01-22","GoogleLLCMSP","","1093.06","85937.98"
"2024-01-23","VeemPaymentMSP","","8963.80","94901.78"
"2024-01-25","PTSTO:80746337033","50.00","","94851.78"
"2024-01-25","NETFLIX.COM_V","17.31","","94834.47"
"2024-01-25","AMZNMktpCA_V","25.34","","94809.13"
"2024-01-26","SSVTO:80746337033","1.00","","94808.13"
"2024-01-29","AMZNMktpCA_V","82.95","","94725.18"
"2024-01-29","STRIPEMSP","","4910.69","99635.87"
"2024-01-29","AMZNMktpCA_V","16.76","","99619.11"
"2024-01-29","Amazon.caPrime_V","10.49","","99608.62"
"2024-01-30","SSVTO:80746337033","1.50","","99607.12"
"2024-01-31","STRIPEPAYMENTSMSP","","5.85","99612.97"
"2024-01-31","PTSTO:80746337033","10.00","","99602.97"
"2024-01-31","MONTHLYACCOUNTFEE","16.95","","99586.02"
"2024-01-31","ACCTBALREBATE","","16.95","99602.97"
"2024-02-01","AMZNMktpCA_V","20.99","","99581.98"
"2024-02-02","SSVTO:80746337033","0.50","","99581.48"
"2024-02-05","AMZNMktpCA_V","20.99","","99560.49"
"2024-02-05","E-TRANSFER***Amx","","2708.00","102268.49"
"2024-02-05","AMZNMktpCA_V","12.59","","102255.90"
"2024-02-06","AMZNMktpCA_V","20.87","","102235.03"
"2024-02-06","SSVTO:80746337033","1.00","","102234.03"
"2024-02-06","CRA2023RTNK6A5K9","36874.00","","65360.03"
"2024-02-06","SHOPPERSDRUGM","27.61","","65332.42"
"2024-02-07","SSVTO:80746337033","1.00","","65331.42"
"2024-02-07","FREEDOMMOBILE_V","93.40","","65238.02"
"2024-02-08","PTSTO:80746337033","50.00","","65188.02"
"2024-02-08","SSVTO:80746337033","0.50","","65187.52"
"2024-02-12","TO:TDC/C9225","10.00","","65177.52"
"2024-02-14","Amazon.ca_V","15.72","","65161.80"
"2024-02-14","HR434TFR-TOC/C","4437.42","","60724.38"
"2024-02-15","SSVTO:80746337033","0.50","","60723.88"
"2024-02-16","PAYPALMSP","32.57","","60691.31"
"2024-02-20","AMZNMktpCA_V","17.84","","60673.47"
"2024-02-20","AMAZON*701-133_V","682.46","","59991.01"
"2024-02-20","SENDE-TFR***UTq","3000.00","","56991.01"
"2024-02-20","SENDE-TFR***sTf","3000.00","","53991.01"
"2024-02-20","E-TRANSFER***mx5","","60.00","54051.01"
"2024-02-20","AMZNMktpCA_V","41.99","","54009.02"
"2024-02-20","Amazon.ca682.46_V","682.46","","53326.56"
"2024-02-20","Amazon.ca_V","4.99","","53321.57"
"2024-02-20","AMAZON*701-133_V","","682.46","54004.03"
"2024-02-21","AMZNMktpCA_V","12.08","","53991.95"
"2024-02-21","SSVTO:80746337033","2.50","","53989.45"
