"statement_date","transaction_date","posting_date","description","amount","currency_amount","currency_code","exchange_rate","source_file"
"2024-01-03","2023-12-04","2023-12-05","HUSKY 52453 CALGARY","9.00","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-06","2023-12-06","BOOKING.COM* 1MZITWBMQ HTTPSWWW.BOO","1755.88","1259.78","USD","1.39379","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-05","2023-12-07","AMERICAN AI 0012498541013 TORONTO","787.07","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-08","2023-12-11","JUGO JUICE CALGARY","16.28","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-08","2023-12-11","AMERICAN AI 0010271916592 CALGARY","31.50","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-08","2023-12-11","HUDSON ST2172 CALGARY","26.58","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-09","2023-12-11","OCEAN ENOTECA E FORNO MIAMI BEACH","58.17","41.69","USD","1.39529","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-09","2023-12-11","WALGREENS 12463 Miami Beach","16.07","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-11","2023-12-12","Store Miami","16.29","11.67","USD","1.39588","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-11","2023-12-12","AMERICAN AIR0010272089768 FORT WORTH","30.70","22.00","USD","1.39545","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-11","2023-12-13","STARBUCKS C21 DFW DALLAS","17.90","12.83","USD","1.39516","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-11","2023-12-13","BOOKLINK 107 MAV MIAMI","18.64","13.36","USD","1.39520","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-12","2023-12-13","SQ *GIRLSCONNECT 8774174551","110.00","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-15","2023-12-18","FRESHII-DEERFOOT CITY CALGARY","7.26","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-15","2023-12-18","BOOSTER JUICE # 432 CALGARY","24.29","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-16","2023-12-18","MUCHO BURRITO CALGARY","26.50","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-18","2023-12-19","FLOORING SUPERSTORES CALGARY","448.99","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-18","2023-12-19","PAYMENT - THANK YOU","-3536.21","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-13","2023-12-20","SP THE CAMERA STORE CALGARY","1048.95","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-20","2023-12-21","AIRBNB * HMTFPPHKJC AIRBNB.COM","6428.75","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-21","2023-12-22","IKEA CALGARY CALGARY","25.97","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-21","2023-12-27","APPLE STORE #R209 CALGARY","190.00","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-23","2023-12-27","DOLLAR WORLD CALGARY","25.14","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-23","2023-12-27","LES MOULINS LA FAYETTE CALGARY","8.35","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-23","2023-12-27","INDIGOSPIRIT 079 CALGARY","98.15","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-23","2023-12-27","ILAHUI SOUTHCENTRE CALGARY","20.98","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","Club Monaco Calgary","37.49","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","SEPHORA CHINOOK CALGARY","71.40","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","KALYNA STORE CALGARY","7.92","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","FREEDOM MOBILE INC OAKVILLE","41.98","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","STORETAJKABOB DOWNTOWN TOR","19.95","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","STARBUCKS COFFEE #5435 CALGARY","22.32","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","RUSSIAN STORE CALGARY","39.76","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","APPLE STORE #R209 CALGARY","753.95","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","LUSH CHINOOK CALGARY","54.60","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-24","2023-12-27","SHOPPERS DRUG MART #03 CALGARY","15.21","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-27","2023-12-28","PAYMENT - THANK YOU","-8010.71","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-30","2024-01-02","SQUARESPACE INC. HTTPSSQUARES","359.93","264.60","USD","1.36027","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-01-03","2023-12-30","2024-01-02","THE TILE BOX CALGARY","306.96","","","","TD_AEROPLAN_VISA_INFINITE_9225_Jan_03-2024.pdf"
"2024-02-05","2024-01-03","2024-01-04","SP THE ADVENTURE CHA HTTPSCANADAT","68.25","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-06","2024-01-08","SP STRAWBERRY MILK MOB VANCOUVER","90.30","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-06","2024-01-09","SOBEYS MILLRISE #5064 CALGARY","27.27","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-13","2024-01-15","FLOORING SUPERSTORES CALGARY","1011.99","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-16","2024-01-16","THREDUP 6175759676","410.75","297.92","USD","1.37872","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-17","2024-01-18","WF/CA4208927856 VANCOUVER","482.99","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-20","2024-01-22","NEW YORK FRIES #123 SU CALGARY","10.17","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-20","2024-01-22","OPA028-SUNRIDGE MALL CALGARY","9.71","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-20","2024-01-22","TACTICAL LASER TAG CLASS CALGARY","63.76","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-25","2024-01-26","HUSKY 52453 CALGARY","34.63","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-27","2024-01-29","IKEA CALGARY CALGARY","255.45","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-29","2024-01-30","WF/CA4215188026 VANCOUVER","377.99","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-01-31","2024-02-01","DDKINJOSUSHIGRILL DOWNTOWN TOR","25.04","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-02-02","2024-02-05","T&T SUPERMARKET #033 CALGARY","138.70","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-02-02","2024-02-05","VALUE VILLAGE 2174 CALGARY","162.50","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-02-05","2024-02-05","2024-02-05","RETAIL INTEREST","106.44","","","","TD_AEROPLAN_VISA_INFINITE_9225_Feb_05-2024.pdf"
"2024-03-04","2024-02-06","2024-02-06","Etsy.com*PixelBashProps Saint John","112.59","","","","TD_AEROPLAN_VISA_INFINITE_9225_Mar_04-2024.pdf"
